thana_id,thana_code,thana_id_legacy,thana_name,thana_name_bn,district_id,city_corp
488,4001,400177,Sarankhola,শরণখোলা,2,
489,5010,501081,Sariakandi,সারিয়াকান্দি,7,
490,4539,453985,Sarishabari Upazila,সরিষাবাড়ী উপজেলা,23,
491,2015,201582,Satkania,সাতকানিয়া,10,
492,4087,408782,Satkhira Sadar,সাতক্ষীরা সদর,59,
493,3056,305670,Saturia,সাটুরিয়া,36,
494,3026,302672,Savar,সাভার,14,
495,2075,207580,Senbagh,সেনবাগ,49,
496,3059,305974,Serajdikhan,সিরাজদিখান,39,
497,3026,302674,Shah Ali,শাহ আলী,14,N
498,5081,508190,Shah Makhdum,শাহ মখদুম,54,
499,3026,302675,Shahbagh,শাহবাগ,14,S
500,5088,508867,Shahjadpur,শাহজাদপুর,60,
501,3026,302673,Shahjahanpur,শাহজাহানপুর,14,S
502,2013,201395,Shahrasti,শাহরাস্তি,9,
503,4044,404480,Shailkupa,শৈলকুপা,26,
504,5010,501085,Shajahanpur,শাজাহানপুর,7,
505,4055,405585,Shalikha,শালিখা,35,
506,3029,302990,Shaltha,শালথা,16,
507,3086,308669,Shariatpur Sadar,শরীয়তপুর সদর,58,
508,4041,404190,Sharsha,শার্শা,24,
509,6036,603687,SHAYESTAGANJ,শায়েস্তাগঞ্জ,21,
510,3026,302680,Sher-E-Bangla Nagar,শেরে বাংলা নগর,14,N
511,5010,501088,Sherpur,শেরপুর,7,
512,4589,458988,Sherpur Sadar,শেরপুর সদর,61,
513,3054,305487,Shib Char,শিব চর,34,
514,3056,305678,Shibalaya,শিবালয়,36,
515,5070,507088,Shibganj,শিবগঞ্জ,46,
516,5010,501094,Shibganj,শিবগঞ্জ,7,
517,3068,306876,Shibpur,শিবপুর,44,
518,4087,408786,Shyamnagar,শ্যামনগর,59,
519,3026,302676,Shyampur,শ্যামপুর,14,S
520,3056,305682,Singair,সিঙ্গাইর,36,
521,5069,506991,Singra,সিংড়া,45,
522,5088,508878,Sirajganj Sadar,সিরাজগঞ্জ সদর,60,
523,2015,201586,Sitakunda,সীতাকুণ্ড,10,
524,4047,404785,Sonadanga,সোনাডাঙ্গা,28,
525,2030,203094,Sonagazi,সোনাগাজী,17,
526,2075,207583,Sonaimuri,সোনাইমুড়ি,49,
527,3067,306704,Sonargaon,সোনারগাঁও,43,
528,5010,501095,Sonatola,সোনাটোলা,7,
529,4589,458990,Sreebardi,শ্রীবর্দী,61,
530,6058,605883,Sreemangal,শ্রীমঙ্গল,38,
531,3059,305984,Sreenagar,শ্রীনগর,39,
532,3033,303386,Sreepur,শ্রীপুর,19,
533,4055,405595,Sreepur,শ্রীপুর,35,
534,2075,207585,Subarnachar,সুবর্ণচর,49,
535,5076,507683,Sujanagar,সুজানগর,50,
536,6090,609086,Sulla,সুল্লা,62,
537,6090,609089,Sunamganj Sadar,সুনামগঞ্জ সদর,62,
538,5532,553291,Sundarganj,সুন্দরগঞ্জ,18,
539,3026,302688,Sutrapur,সূত্রাপুর,14,S
540,6091,609162,Sylhet Sadar,সিলেট সদর,63,
541,6090,609092,Tahirpur,তাহিরপুর,62,
542,4087,408790,Tala,টালা,59,
543,1004,100490,Taltali,তালতলী,4,
544,3093,309395,Tangail Sadar,টাঙ্গাইল সদর,64,
545,5081,508194,Tanore,তানোর,54,
546,5585,558592,Taraganj,তারাগঞ্জ,57,
547,3048,304892,Tarail,তাড়াইল,29,
548,4561,456188,Tarakanda,তারাকান্দা,40,
549,5088,508889,Tarash,তাড়াশ,60,
550,1009,100991,Tazumuddin,তজুমদ্দিন,6,
551,3026,302690,Tejgaon,তেজগাঁও,14,N
552,3026,302692,Tejgaon Ind. Area,তেজগাঁও ইন্ড. এলাকা,14,N
553,2022,202290,Teknaf,টেকনাফ,13,
554,5577,557790,Tentulia,তেঁতুলিয়া,51,
555,4047,404794,Terokhada,তেরোখাদা,28,
556,5594,559494,Thakurgaon Sadar,ঠাকুরগাঁও সদর,66,
557,2003,200395,Thanchi,থানচি,3,
558,2019,201994,Titas,তিতাস,12,
559,3033,303387,Tongi,টঙ্গী,19,
560,3059,305994,Tongibari,টঙ্গীবাড়ি,39,
561,9998,999801,Tripoli,ত্রিপোলি,71,
562,4561,456194,Trishal,ত্রিশাল,40,
563,3035,303591,Tungipara,টুঙ্গিপাড়া,20,
564,3026,302693,Turag,তুরাগ,14,
565,2022,202294,Ukhia Upazila,উখিয়া উপজেলা,13,
566,5549,554994,Ulipur,উলিপুর,30,
567,5088,508894,Ullah Para,উল্লাহ পাড়া,60,
568,3026,302696,Uttar Khan,উত্তর খান,14,N
569,3026,302695,Uttara,উত্তরা,14,N
570,3026,302694,Uttara  Paschim,উত্তরা পশ্চিম,14,N
571,3026,302698,Wari,ওয়ারী,14,S
572,1006,100694,Wazirpur,উজিরপুর,5,
573,6091,609194,Zakiganj,জকিগঞ্জ,63,
574,3086,308694,Zanjira,জাঞ্জিরা,58,
575,9998,999802,Kawkhali,কাউখালী,56,
576,2015,201502,AKBARSHAH,,10,
577,2015,201577,SADARGHAT,,10,
578,3033,303345,KONABARI,কোনাবাড়ী,19,
579,3033,303350,PUBAIL,"পুবাইল
",19,
580,3033,303390,Tongi Pashchim,টংগী পশ্চিম,19,
581,3033,303393,Tongi purba,টংগী পুর্ব,19,
582,6091,609105,AIRPORT,এয়ারপোর্ট,63,
583,6091,609148,JALALABAD,জালালাবাদ,63,
584,6091,609155,KOTWALI,কোতয়ালী,63,
585,6091,609157,MOGLABAZAR,মোগলাবাজার,63,
586,6091,609168,SHAHPARAN,শাহপরান,63,
