id,eiin,strengthening_reading_habits_scheme_available,trained_organizer_available,books_registered,materials_received,book_shelf_available,chairs_and_tables_for_reading,book_supply_register_available,sixth_grade_members_count,seventh_grade_members_count,eighth_grade_members_count,ninth_grade_members_count,tenth_grade_members_count,honorarium_provided,visited_by_assistant_managers,member_register,book_issued,sixth_grade_books_issued_count,sixth_grade_books_received,seventh_grade_books_issued_count,seventh_grade_books_received,eighth_grade_books_issued_count,eighth_grade_books_received,ninth_grade_books_issued_count,ninth_grade_books_received,tenth_grade_books_issued_count,tenth_grade_books_received,manual_distributed,distribution_info_sent,visited,visited_by_monitoring_officer,visited_by_scheme_officer,visited_by_maushi,visited_by_others,books_received_on,sixth_grade_books_provided,seventh_grade_books_provided,eighth_grade_books_provided,ninth_grade_books_provided,tenth_grade_books_provided
1271,102777,true,true,true,true,true,true,true,18,18,17,18,19,true,true,true,true,17,17,18,17,17,17,18,18,19,18,true,true,true,,true,,,24-12-2023,18,18,17,18,19
1272,609162116,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1273,119521,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,123922,true,true,true,true,true,true,true,30,25,30,25,25,true,true,true,true,20,20,15,15,20,20,25,25,20,20,true,true,true,true,,,,19-10-2011,20,20,20,20,20
1275,113265,true,true,true,true,true,true,true,40,30,25,40,40,false,true,true,true,40,36,24,20,18,16,35,30,30,28,true,true,true,true,true,,,04-01-2024,100,95,90,110,105
1276,609108007,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,609127022,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,127123,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,119449,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,124382,true,true,true,false,true,true,true,43,41,43,35,35,false,true,true,true,18,18,19,19,17,17,18,18,16,16,true,true,true,true,false,false,false,01-05-2024,18,19,17,18,16
1281,137566,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,11878b76-cc8a-4dce-9497-3cc51a39906d,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,506475006,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1284,126790,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,114727,false,false,true,true,true,false,true,90,66,78,79,101,false,false,true,true,90,0,66,0,75,0,75,0,0,0,false,false,false,false,false,false,false,07-01-2024,100,100,75,75,0
1286,308694011,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,116466,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,108718,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1289,116493,true,true,true,true,true,true,true,15,18,20,25,17,false,true,true,true,30,20,35,15,34,20,40,25,30,20,true,true,true,true,,,true,16-01-2024,36,34,30,17,53
1290,117220,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,132297,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,119702,true,true,true,true,true,true,true,30,30,30,26,15,false,true,true,true,20,18,38,35,28,27,25,22,25,22,true,true,true,true,,,,20-04-2024,36,38,34,36,32
1293,103446,true,true,true,true,true,false,true,120,100,70,50,55,true,true,true,true,60,30,50,28,40,25,40,30,20,5,true,true,true,true,false,false,false,01-01-2024,113,109,100,85,80
1294,132993,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,110836,true,true,true,true,true,false,true,40,40,35,25,20,false,true,true,true,40,40,40,40,35,35,25,20,20,15,true,true,true,true,,,,12-04-2023,74,98,71,81,77
1296,114926,true,true,true,true,true,true,true,24,18,22,16,18,false,true,true,true,18,18,16,16,15,15,12,12,10,10,true,true,true,true,false,false,false,24-10-2023,72,76,68,72,64
1297,130452,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,120503,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,117748,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,101454,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,113600,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1302,201533006,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,136828,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
